Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer
Timestamp,Timestamp,Wide Range Accelerometer X,Wide Range Accelerometer X,Wide Range Accelerometer Y,Wide Range Accelerometer Y,Wide Range Accelerometer Z,Wide Range Accelerometer Z,Gyroscope X,Gyroscope X,Gyroscope Y,Gyroscope Y,Gyroscope Z,Gyroscope Z,Magnetometer X,Magnetometer X,Magnetometer Y,Magnetometer Y,Magnetometer Z,Magnetometer Z
RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL
no units,mSecs,no units,m/(sec^2),no units,m/(sec^2),no units,m/(sec^2),no units,deg/sec,no units,deg/sec,no units,deg/sec,no units,local,no units,local,no units,local
12820510,15546.875,-3008,1.8442673207,672,0.4120171674,-15952,9.780502759,4,3.1707317073,-52,-0.243902439,-2,0.1219512195,2,-0.0086956522,-45,-0.1956521739,142,-0.6926829268
12821150,15566.40625,-2928,1.7952176579,576,0.353157572,-15888,9.7412630288,4,3.1707317073,-52,-0.243902439,-2,0.1219512195,1,-0.0043478261,-46,-0.2,141,-0.687804878
12821790,15585.9375,-3088,1.8933169834,672,0.4120171674,-15904,9.7510729614,13,3.1097560976,-51,-0.7926829268,-1,0.0609756098,0,0,-39,-0.1695652174,140,-0.6829268293
12822430,15605.46875,-3040,1.8638871858,672,0.4120171674,-16000,9.8099325567,13,3.1097560976,-51,-0.7926829268,-1,0.0609756098,1,-0.0043478261,-44,-0.1913043478,140,-0.6829268293
12823070,15625,-3024,1.8540772532,640,0.3923973023,-15968,9.7903126916,1,3.5975609756,-59,-0.0609756098,1,-0.0609756098,2,-0.0086956522,-40,-0.1739130435,140,-0.6829268293
12823710,15644.53125,-3200,1.9619865113,624,0.3825873697,-15840,9.7118332311,12,3.7195121951,-61,-0.7317073171,4,-0.243902439,3,-0.0130434783,-45,-0.1956521739,139,-0.6780487805
12824350,15664.0625,-3168,1.9423666462,704,0.4316370325,-15872,9.7314530963,12,3.7195121951,-61,-0.7317073171,4,-0.243902439,2,-0.0086956522,-41,-0.1782608696,140,-0.6829268293
