Sample, Time, ACCX, ACCY, ACCZ, MAGX, MAGY, MAGZ, GYRX, GYRY, GYRZ
0,49018.12000,-56.291,-49.581,-234.255,120.539,-389.711,-279.819,-13.500,12.760,12.780
1,49018.39000,-56.291,-49.581,-233.266,120.539,-389.711,-279.819,-20.500,-9.240,7.780
2,49018.71000,-60.207,-47.557,-235.243,117.526,-390.656,-274.843,-27.500,-29.240,-6.220
3,49018.90000,-60.207,-46.545,-238.208,125.458,-392.658,-279.903,-18.500,-16.240,-9.220
4,49018.104000,-59.228,-48.569,-238.208,127.372,-393.646,-276.982,-8.500,-4.240,-6.220
5,49018.126000,-59.228,-48.569,-236.232,115.647,-391.602,-278.746,-0.500,-3.240,-1.220
6,49018.146000,-60.207,-47.557,-236.232,119.509,-389.705,-276.848,5.500,7.760,9.780
7,49018.169000,-58.249,-49.581,-235.243,122.540,-392.630,-280.836,7.500,14.760,8.780
8,49018.189000,-56.291,-48.569,-235.243,119.605,-394.539,-279.797,5.500,-8.240,-2.220
9,49018.206000,-58.249,-47.557,-233.266,119.484,-394.546,-272.904,-1.500,-37.240,-13.220
10,49018.229000,-59.228,-48.569,-232.278,123.441,-393.611,-275.928,-2.500,-21.240,-13.220
11,49018.256000,-58.249,-47.557,-232.278,122.489,-394.569,-276.895,-0.500,-1.240,-8.220
12,49018.277000,-56.291,-48.569,-231.290,117.543,-390.656,-275.827,0.500,-4.240,-7.220
13,49018.290000,-55.312,-49.581,-231.290,118.514,-391.633,-274.859,-9.500,-9.240,-7.220
14,49018.307000,-56.291,-49.581,-232.278,122.445,-391.667,-275.913,-8.500,-3.240,-3.220
15,49018.329000,-58.249,-48.569,-231.290,121.475,-392.626,-275.895,-10.500,0.760,-1.220
16,49018.350000,-57.270,-48.569,-232.278,125.415,-391.692,-277.934,-11.500,4.760,2.780
17,49018.369000,-57.270,-49.581,-232.278,118.479,-391.635,-272.889,-11.500,10.760,10.780
18,49018.396000,-57.270,-50.593,-232.278,116.635,-394.514,-277.776,-14.500,3.760,12.780
19,49018.411000,-57.270,-50.593,-232.278,123.423,-391.676,-275.930,-18.500,-4.240,12.780
20,49018.434000,-56.291,-48.569,-231.290,121.528,-394.559,-277.862,-27.500,-9.240,8.780
21,49018.461000,-59.228,-48.569,-230.301,118.566,-395.501,-275.840,-32.500,-9.240,10.780
22,49018.480000,-59.228,-48.569,-232.278,124.455,-395.554,-276.928,-30.500,11.760,12.780
23,49018.499000,-59.228,-47.557,-230.301,120.488,-391.650,-275.878,-33.500,25.760,19.780
24,49018.519000,-57.270,-49.581,-230.301,112.721,-394.479,-277.706,-39.500,15.760,22.780
25,49018.539000,-57.270,-47.557,-232.278,112.685,-388.673,-278.697,-43.500,3.760,20.780
26,49018.559000,-60.207,-50.593,-230.301,118.627,-396.466,-278.793,-46.500,-6.240,11.780
27,49018.581000,-62.164,-49.581,-230.301,117.682,-392.584,-282.719,-50.500,0.760,2.780
28,49018.602000,-60.207,-45.534,-232.278,115.691,-394.503,-279.728,-55.500,15.760,-1.220
29,49018.625000,-59.228,-44.522,-232.278,123.545,-393.605,-281.837,-65.500,7.760,-6.220
30,49018.644000,-57.270,-46.545,-232.278,116.652,-392.578,-279.747,-75.500,-17.240,-18.220
31,49018.661000,-59.228,-44.522,-234.255,112.781,-391.572,-282.633,-73.500,0.760,-17.220
32,49018.689000,-62.164,-43.510,-232.278,112.677,-389.642,-277.711,-63.500,49.760,3.780
33,49018.704000,-59.228,-44.522,-232.278,111.812,-394.466,-281.628,-62.500,69.760,15.780
34,49018.721000,-55.312,-46.545,-231.290,112.737,-390.606,-280.665,-68.500,55.760,12.780
